Category,Proportion,F1,DR,Enc F1,Enc DR
normal,0.5191058142275191,0.9768505103190702,0.9891043517737856,0.9660205098530877,0.9817108761917115
neptune,0.30986769013230986,0.9989683444643536,0.9994567579313341,0.9978791668932513,0.9968491960017384
warezclient,0.005588661078005589,0.7601246105919003,0.7349397590361446,0.6971830985915494,0.5963855421686747
ipsweep,0.025350974649025353,0.9557755775577558,0.9614873837981408,0.9379586390927284,0.9335989375830013
portsweep,0.020772312561020773,0.9707792207792207,0.9692058346839546,0.9477071600965405,0.9546191247974068
teardrop,0.006093660573006094,0.9623655913978495,0.988950276243094,0.9675675675675676,0.988950276243094
nmap,0.009628657038009629,0.8617594254937164,0.8391608391608392,0.7871198568872987,0.7692307692307693
satan,0.02811163855502811,0.9150090415913201,0.9089820359281438,0.8981264637002341,0.918562874251497
smurf,0.02285964380702286,0.9851190476190477,0.9749631811487481,0.981549815498155,0.979381443298969
pod,0.001615998384001616,0.9504950495049505,1.0,0.39344262295081966,0.25
back,0.007844325489007844,0.7374005305039787,0.5965665236051502,0.4427083333333333,0.3648068669527897
guess_passwd,0.009123657543009124,0.9392265193370166,0.940959409594096,0.8677839851024208,0.8597785977859779
ftp_write,0.000100999899000101,0.0,0.0,0.0,0.0
multihop,0.00026933306400026935,0.0,0.0,0.0,0.0
rootkit,0.00013466653200013467,0.0,0.0,0.0,0.0
buffer_overflow,0.00023566643100023565,0.4,0.2857142857142857,0.0,0.0
imap,6.733326600006734e-05,0.0,0.0,0.0,0.0
warezmaster,0.006800659866006801,0.8503937007874016,0.801980198019802,0.4507042253521127,0.31683168316831684
phf,3.366663300003367e-05,0.0,0.0,0.0,0.0
land,0.000403999596000404,0.631578947368421,0.5,0.761904761904762,0.6666666666666666
loadmodule,6.733326600006734e-05,0.0,0.0,0.0,0.0
spy,0.0,0.0,0.0,0.0,0.0
perl,0.0,0.0,0.0,0.0,0.0
saint,0.0025923307410025925,0.0,0.0,0.0,0.0
mscan,0.006127327206006127,0.8786127167630058,0.8351648351648352,0.8123249299719889,0.7967032967032966
apache2,0.005251994748005252,0.9576547231270358,0.9423076923076923,0.9415384615384614,0.9807692307692307
snmpgetattack,0.0013803319530013803,0.0,0.0,0.0,0.0
processtable,0.00478066188600478,0.9714285714285714,0.9577464788732394,0.9084507042253521,0.9084507042253521
httptunnel,0.000807999192000808,0.0,0.0,0.0,0.0
ps,3.366663300003367e-05,0.0,0.0,0.0,0.0
snmpguess,0.002289331044002289,0.0,0.0,0.0,0.0
mailbomb,0.002289331044002289,0.05714285714285715,0.029411764705882353,0.21052631578947367,0.11764705882352941
named,6.733326600006734e-05,0.0,0.0,0.0,0.0
sendmail,0.000100999899000101,0.0,0.0,0.0,0.0
xterm,0.000100999899000101,0.0,0.0,0.0,0.0
worm,0.0,0.0,0.0,0.0,0.0
xlock,3.366663300003367e-05,0.0,0.0,0.0,0.0
xsnoop,3.366663300003367e-05,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0,0.0
udpstorm,3.366663300003367e-05,0.0,0.0,0.0,0.0
